"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","718","724","41","1"
"05-09","868","919","19","0"
"10-14","899","1.080","23","0"
"15-19","1.327","1.380","39","0"
"20-24","1.663","1.712","85","0"
"25-29","1.527","1.550","96","0"
"30-34","1.475","1.653","118","2"
"35-39","1.399","1.473","129","2"
"40-44","1.445","1.324","141","1"
"45-49","1.376","1.254","156","3"
"50-54","1.495","1.576","204","14"
"55-59","1.422","1.449","244","22"
"60-64","884","1.013","239","25"
"65-69","499","580","224","41"
"70-74","502","506","294","74"
"75-79","526","473","357","121"
"80-84","813","530","508","224"
"85-89","650","318","339","198"
"90+","685","195","237","212"

"Datenstand 28.07.2021 18:53:44"
