"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","695","690","33","1"
"05-09","817","882","15","0"
"10-14","839","1.033","21","0"
"15-19","1.221","1.282","35","0"
"20-24","1.557","1.582","74","0"
"25-29","1.445","1.461","88","0"
"30-34","1.420","1.584","104","2"
"35-39","1.343","1.420","123","2"
"40-44","1.391","1.287","130","1"
"45-49","1.339","1.206","150","3"
"50-54","1.458","1.533","195","9"
"55-59","1.387","1.416","233","20"
"60-64","856","984","231","23"
"65-69","488","569","215","40"
"70-74","494","499","278","71"
"75-79","523","471","348","120"
"80-84","806","523","497","220"
"85-89","642","316","328","195"
"90+","678","193","231","211"

"Datenstand 10.06.2021 18:33:11"
