"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","805,05","2.531","+48","241","+4","99","+2"
"Lübeck","HL","596,23","1.295","+23","161","+2","26","+1"
"Segeberg","SE","450,67","1.244","+8","53","","46",""
"Stormarn","OD","448,20","1.090","+29","116","","24",""
"Herzogtum Lauenburg","RZ","468,91","925","+38","49","+2","24",""
"Kiel","KI","326,40","808","+18","94","","28",""
"Ostholstein","OH","402,83","808","+22","136","+1","22",""
"Nordfriesland","NF","487,59","807","+13","130","","27",""
"Flensburg","FL","755,27","676","+17","31","+3","14","+1"
"Schleswig-Flensburg","SL","332,46","665","+36","33","","14",""
"Rendsburg-Eckernförde","RD","243,06","663","+5","74","+2","12",""
"Steinburg","IZ","292,36","384","+8","22","","2",""
"Neumünster","NMS","465,48","370","+13","32","","6",""
"Dithmarschen","HEI","227,46","303","+2","16","","6",""
"Plön","PLO","178,78","230","+2","47","","6",""
"-"
"Schleswig-Holstein","SH","441,85","12.799","+282","1.235","+14","356","+4"

"Datenstand 06.02.2021 20:10:49"
