"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","978","991","55","1"
"05-09","1.402","1.453","27","0"
"10-14","1.593","1.784","33","0"
"15-19","1.846","1.955","52","0"
"20-24","2.140","2.247","110","0"
"25-29","1.970","2.035","141","0"
"30-34","1.920","2.142","164","2"
"35-39","1.835","1.852","183","3"
"40-44","1.844","1.704","183","4"
"45-49","1.685","1.549","179","4"
"50-54","1.756","1.834","251","18"
"55-59","1.614","1.676","295","25"
"60-64","996","1.163","272","26"
"65-69","578","662","257","47"
"70-74","551","552","319","78"
"75-79","570","516","387","128"
"80-84","865","571","545","231"
"85-89","686","338","351","204"
"90+","731","207","254","218"

"Datenstand 28.09.2021 19:06:19"
