"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.002","1.029","55","1"
"05-09","1.445","1.513","30","0"
"10-14","1.655","1.847","34","0"
"15-19","1.891","1.993","52","0"
"20-24","2.178","2.306","111","0"
"25-29","2.032","2.087","149","0"
"30-34","1.972","2.190","169","2"
"35-39","1.869","1.896","188","3"
"40-44","1.894","1.745","187","4"
"45-49","1.714","1.586","181","4"
"50-54","1.798","1.877","257","18"
"55-59","1.648","1.704","302","25"
"60-64","1.017","1.181","278","26"
"65-69","598","675","260","48"
"70-74","562","566","323","79"
"75-79","583","523","393","130"
"80-84","879","582","553","231"
"85-89","705","344","358","205"
"90+","742","208","254","220"

"Datenstand 08.10.2021 18:35:56"
