"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","586,53","1.844","+28","200","+3","49",""
"Stormarn","OD","580,60","1.412","+36","72","+2","47","+2"
"Segeberg","SE","459,73","1.269","+67","97","+1","28","+3"
"Lübeck","HL","419,43","911","+18","36","","4",""
"Kiel","KI","360,33","892","+17","116","+2","15",""
"Herzogtum Lauenburg","RZ","413,15","815","+15","63","","20",""
"Rendsburg-Eckernförde","RD","290,35","792","+13","78","+2","16",""
"Nordfriesland","NF","345,00","571","+31","39","+2","2",""
"Dithmarschen","HEI","370,84","494","+10","64","+1","13",""
"Schleswig-Flensburg","SL","236,47","473","+6","36","+1","6",""
"Ostholstein","OH","222,35","446","+22","30","","1",""
"Steinburg","IZ","277,89","365","+4","35","","3",""
"Neumünster","NMS","452,90","360","+10","17","","3",""
"Plön","PLO","216,87","279","+8","52","+3","8",""
"Flensburg","FL","308,37","276","+11","11","","3",""
"-"
"Schleswig-Holstein","SH","386,61","11.199","+296","946","+17","218","+5"

"Datenstand 13.11.2020 20:07:21"
