"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","773","761","42","1"
"05-09","971","1.022","20","0"
"10-14","1.050","1.229","23","0"
"15-19","1.453","1.511","41","0"
"20-24","1.764","1.831","89","0"
"25-29","1.602","1.635","100","0"
"30-34","1.556","1.718","120","2"
"35-39","1.497","1.548","140","2"
"40-44","1.535","1.393","155","1"
"45-49","1.429","1.306","160","3"
"50-54","1.531","1.617","209","15"
"55-59","1.451","1.485","255","22"
"60-64","898","1.037","246","25"
"65-69","513","592","231","42"
"70-74","506","511","294","75"
"75-79","530","475","360","121"
"80-84","817","534","511","224"
"85-89","652","320","341","198"
"90+","689","195","238","213"

"Datenstand 10.08.2021 18:28:16"
