"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.961,39","6.200","+2","656","+1","223","+1"
"Segeberg","SE","1.555,34","4.311","+4","358","+6","93",""
"Stormarn","OD","1.580,96","3.860","+2","353","","127",""
"Herzogtum Lauenburg","RZ","1.732,66","3.431","+1","255","","73",""
"Lübeck","HL","1.463,08","3.168","+2","260","","74",""
"Kiel","KI","1.270,70","3.136","","269","","56",""
"Rendsburg-Eckernförde","RD","883,63","2.422","+5","204","","35",""
"Ostholstein","OH","1.122,47","2.251","","237","","67",""
"Schleswig-Flensburg","SL","986,80","1.985","+2","87","","31",""
"Nordfriesland","NF","1.088,27","1.806","","212","+1","54",""
"Flensburg","FL","1.964,20","1.771","","110","","29",""
"Steinburg","IZ","1.146,45","1.502","","141","","20",""
"Neumünster","NMS","1.440,22","1.155","","87","","9",""
"Dithmarschen","HEI","765,06","1.019","+1","91","","20",""
"Plön","PLO","630,99","812","","106","","18",""
"-"
"Schleswig-Holstein","SH","1.337,19","38.829","+19","3.426","+8","929","+1"

"Datenstand 28.06.2021 19:16:16"
