"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.954,43","6.178","+7","649","+3","221",""
"Segeberg","SE","1.549,20","4.294","+2","342","+4","93",""
"Stormarn","OD","1.574,40","3.844","+4","352","","127",""
"Herzogtum Lauenburg","RZ","1.729,13","3.424","+1","255","","73",""
"Lübeck","HL","1.461,23","3.164","+1","260","","74",""
"Kiel","KI","1.265,83","3.124","+1","264","","56",""
"Rendsburg-Eckernförde","RD","881,07","2.415","+1","204","","35",""
"Ostholstein","OH","1.121,98","2.250","","237","","67",""
"Schleswig-Flensburg","SL","985,80","1.983","","87","","31",""
"Nordfriesland","NF","1.087,67","1.805","","210","","54",""
"Flensburg","FL","1.964,20","1.771","+1","110","","29",""
"Steinburg","IZ","1.144,92","1.500","","140","","20",""
"Neumünster","NMS","1.433,99","1.150","","86","","9",""
"Dithmarschen","HEI","764,30","1.018","+1","91","+1","20",""
"Plön","PLO","630,99","812","+2","105","","18",""
"-"
"Schleswig-Holstein","SH","1.333,85","38.732","+21","3.392","+8","927",""

"Datenstand 21.06.2021 19:08:09"
