"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","715","724","41","1"
"05-09","865","915","19","0"
"10-14","895","1.078","23","0"
"15-19","1.314","1.373","39","0"
"20-24","1.659","1.701","85","0"
"25-29","1.520","1.545","96","0"
"30-34","1.470","1.647","117","2"
"35-39","1.394","1.463","128","2"
"40-44","1.440","1.321","141","1"
"45-49","1.373","1.253","155","3"
"50-54","1.494","1.575","203","14"
"55-59","1.419","1.447","244","22"
"60-64","883","1.011","239","25"
"65-69","498","580","224","41"
"70-74","502","506","294","74"
"75-79","526","473","357","121"
"80-84","813","529","508","224"
"85-89","650","318","339","198"
"90+","683","195","237","212"

"Datenstand 27.07.2021 18:36:01"
