"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","699","696","35","1"
"05-09","825","883","15","0"
"10-14","845","1.044","21","0"
"15-19","1.228","1.286","35","0"
"20-24","1.561","1.588","75","0"
"25-29","1.453","1.465","88","0"
"30-34","1.426","1.587","107","2"
"35-39","1.347","1.422","124","2"
"40-44","1.397","1.289","133","1"
"45-49","1.343","1.212","149","3"
"50-54","1.461","1.535","197","10"
"55-59","1.390","1.416","237","20"
"60-64","858","988","231","23"
"65-69","490","569","218","40"
"70-74","495","499","279","72"
"75-79","524","471","349","121"
"80-84","806","525","502","222"
"85-89","642","316","332","196"
"90+","678","193","231","211"

"Datenstand 15.06.2021 18:38:44"
