"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","166","179","11","0"
"05-09","152","192","3","0"
"10-14","207","230","8","0"
"15-19","418","398","11","0"
"20-24","629","606","20","0"
"25-29","625","572","27","0"
"30-34","565","613","36","0"
"35-39","497","529","40","0"
"40-44","556","423","34","0"
"45-49","599","454","42","1"
"50-54","645","613","63","2"
"55-59","632","578","82","6"
"60-64","399","421","94","9"
"65-69","229","277","104","20"
"70-74","241","269","138","38"
"75-79","330","286","193","63"
"80-84","586","369","311","133"
"85-89","523","233","204","135"
"90+","569","160","147","146"

"Datenstand 22.02.2021 19:57:37"
