"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.957,27","6.187","+7","651","","221",""
"Segeberg","SE","1.551,01","4.299","+2","351","+5","93",""
"Stormarn","OD","1.576,86","3.850","+6","352","","127",""
"Herzogtum Lauenburg","RZ","1.730,14","3.426","","255","","73",""
"Lübeck","HL","1.461,69","3.165","","260","","74",""
"Kiel","KI","1.267,45","3.128","+3","264","","56",""
"Rendsburg-Eckernförde","RD","881,07","2.415","+1","204","","35",""
"Ostholstein","OH","1.122,47","2.251","","237","","67",""
"Schleswig-Flensburg","SL","985,80","1.983","","87","","31",""
"Nordfriesland","NF","1.087,67","1.805","","210","","54",""
"Flensburg","FL","1.964,20","1.771","","110","","29",""
"Steinburg","IZ","1.145,69","1.501","+1","141","+1","20",""
"Neumünster","NMS","1.437,73","1.153","+1","86","","9",""
"Dithmarschen","HEI","764,30","1.018","","91","","20",""
"Plön","PLO","630,99","812","","105","","18",""
"-"
"Schleswig-Holstein","SH","1.334,95","38.764","+21","3.404","+6","927",""

"Datenstand 23.06.2021 19:26:58"
