"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","579","592","25","1"
"05-09","659","734","11","0"
"10-14","692","850","15","0"
"15-19","1.044","1.107","29","0"
"20-24","1.369","1.419","57","0"
"25-29","1.303","1.310","69","0"
"30-34","1.257","1.426","81","1"
"35-39","1.194","1.279","94","1"
"40-44","1.256","1.158","109","1"
"45-49","1.175","1.076","119","2"
"50-54","1.323","1.386","148","5"
"55-59","1.259","1.282","181","18"
"60-64","783","886","174","20"
"65-69","445","527","184","34"
"70-74","460","459","238","65"
"75-79","497","442","309","107"
"80-84","771","506","455","199"
"85-89","626","304","288","182"
"90+","664","188","203","194"

"Datenstand 04.05.2021 18:52:43"
