"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","268,46","844","+17","140","","47",""
"Stormarn","OD","257,82","627","+8","56","","35",""
"Kiel","KI","185,42","459","","80","+1","11",""
"Segeberg","SE","165,56","457","+2","47","","7",""
"Herzogtum Lauenburg","RZ","179,96","355","+3","51","","18",""
"Rendsburg-Eckernförde","RD","128,31","350","+6","51","","14",""
"Lübeck","HL","127,07","276","","13","","1",""
"Steinburg","IZ","161,40","212","+1","25","","3",""
"Dithmarschen","HEI","153,14","204","+5","31","","5",""
"Schleswig-Flensburg","SL","93,99","188","+1","21","","4",""
"Neumünster","NMS","208,84","166","+1","13","","3",""
"Plön","PLO","126,70","163","+1","36","","8",""
"Ostholstein","OH","65,81","132","","17","","0",""
"Nordfriesland","NF","73,71","122","+3","17","","2",""
"Flensburg","FL","112,84","101","+5","7","","3",""
"-"
"Schleswig-Holstein","SH","160,73","4.656","+53","605","+1","161",""

"Datenstand 25.09.2020 19:10:25"
