"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","296,13","931","+8","146","","47",""
"Stormarn","OD","285,37","694","","60","","35",""
"Segeberg","SE","195,27","539","+5","48","","7",""
"Kiel","KI","195,52","484","+1","80","","12",""
"Rendsburg-Eckernförde","RD","142,24","388","+2","54","","14",""
"Herzogtum Lauenburg","RZ","191,11","377","","52","","18",""
"Lübeck","HL","150,09","326","","14","","1",""
"Dithmarschen","HEI","186,17","248","","33","","5",""
"Steinburg","IZ","181,20","238","","25","","3",""
"Schleswig-Flensburg","SL","105,99","212","+4","21","","4",""
"Neumünster","NMS","223,94","178","+2","13","","3",""
"Plön","PLO","132,14","170","","36","","8",""
"Ostholstein","OH","79,27","159","+1","18","","0",""
"Nordfriesland","NF","93,65","155","","19","","2",""
"Flensburg","FL","151,95","136","+3","9","","3",""
"-"
"Schleswig-Holstein","SH","180,72","5.235","+26","628","","162",""

"Datenstand 10.10.2020 19:31:19"
