"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.507,73","7.927","+4","755","","240","+1"
"Segeberg","SE","1.943,54","5.387","+8","423","+2","99",""
"Stormarn","OD","1.967,18","4.803","+22","437","+4","137",""
"Kiel","KI","1.942,92","4.795","+7","355","","66",""
"Herzogtum Lauenburg","RZ","2.166,46","4.290","+8","283","+1","77",""
"Lübeck","HL","1.953,08","4.229","+6","291","+1","75",""
"Rendsburg-Eckernförde","RD","1.160,17","3.180","+6","227","+1","38",""
"Ostholstein","OH","1.340,39","2.688","+1","259","","68",""
"Schleswig-Flensburg","SL","1.180,18","2.374","+4","101","","31",""
"Nordfriesland","NF","1.394,39","2.314","+1","242","","56",""
"Flensburg","FL","2.545,36","2.295","+1","122","","29",""
"Steinburg","IZ","1.491,46","1.954","+4","167","","22",""
"Neumünster","NMS","2.172,18","1.742","+5","115","","9",""
"Dithmarschen","HEI","1.195,26","1.592","","130","","21",""
"Plön","PLO","939,50","1.209","+9","140","+3","21",""
"-"
"Schleswig-Holstein","SH","1.748,72","50.779","+86","4.047","+12","989","+1"

"Datenstand 27.09.2021 18:54:02"
