"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","127","138","10","0"
"05-09","188","168","4","0"
"10-14","241","224","7","0"
"15-19","401","395","13","0"
"20-24","489","588","17","0"
"25-29","491","558","33","0"
"30-34","472","478","44","0"
"35-39","451","422","28","2"
"40-44","417","416","28","1"
"45-49","436","451","49","3"
"50-54","533","535","51","0"
"55-59","478","518","79","6"
"60-64","304","337","71","10"
"65-69","168","194","72","10"
"70-74","178","153","90","24"
"75-79","191","159","128","33"
"80-84","215","175","156","56"
"85-89","130","70","79","39"
"90+","132","41","58","45"

"Datenstand 18.11.2020 21:11:11"
