"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.937,66","6.125","+13","643","+5","221",""
"Segeberg","SE","1.543,07","4.277","+15","308","+1","93",""
"Stormarn","OD","1.564,98","3.821","+7","351","+1","125",""
"Herzogtum Lauenburg","RZ","1.718,52","3.403","+2","249","","72",""
"Lübeck","HL","1.455,69","3.152","+5","260","","74",""
"Kiel","KI","1.260,97","3.112","+3","262","","55",""
"Rendsburg-Eckernförde","RD","878,15","2.407","","204","","35",""
"Ostholstein","OH","1.118,98","2.244","+4","237","","66",""
"Schleswig-Flensburg","SL","984,31","1.980","+3","87","","30",""
"Nordfriesland","NF","1.082,25","1.796","+1","209","","54",""
"Flensburg","FL","1.960,87","1.768","","109","","29",""
"Steinburg","IZ","1.143,40","1.498","","139","","19",""
"Neumünster","NMS","1.427,75","1.145","","86","","9",""
"Dithmarschen","HEI","763,55","1.017","","90","","20","+1"
"Plön","PLO","626,33","806","","103","","17",""
"-"
"Schleswig-Holstein","SH","1.327,62","38.551","+53","3.337","+7","919","+1"

"Datenstand 11.06.2021 19:47:25"
