"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.596,62","8.208","+5","777","+2","240",""
"Segeberg","SE","2.008,12","5.566","+11","438","+1","100",""
"Stormarn","OD","2.066,71","5.046","+23","450","+2","140","+1"
"Kiel","KI","2.027,60","5.004","+10","373","+2","67",""
"Herzogtum Lauenburg","RZ","2.204,33","4.365","+16","289","+3","79","+2"
"Lübeck","HL","2.000,65","4.332","+7","293","","75",""
"Rendsburg-Eckernförde","RD","1.203,22","3.298","+9","232","","41","+2"
"Ostholstein","OH","1.374,79","2.757","+2","261","+1","67",""
"Schleswig-Flensburg","SL","1.212,49","2.439","+4","104","","32",""
"Nordfriesland","NF","1.417,29","2.352","+3","248","","56",""
"Flensburg","FL","2.606,36","2.350","+3","124","","29",""
"Steinburg","IZ","1.538,78","2.016","+1","172","+1","23","+1"
"Neumünster","NMS","2.275,67","1.825","+6","120","","10",""
"Dithmarschen","HEI","1.234,30","1.644","+2","135","","23","+1"
"Plön","PLO","978,35","1.259","+11","145","+2","22",""
"-"
"Schleswig-Holstein","SH","1.806,65","52.461","+113","4.161","+14","1.004","+7"

"Datenstand 11.10.2021 18:42:39"
