"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Segeberg","SE","68,47","189","+22","6","+5","0",""
"Pinneberg","PI","32,76","103","+33","5","+1","0",""
"Lübeck","HL","46,04","100","+50","3","","0",""
"Herzogtum Lauenburg","RZ","35,99","71","+33","0","","0",""
"Kiel","KI","24,24","60","+28","4","+3","1","+1"
"Ostholstein","OH","25,43","51","+7","12","","0",""
"Stormarn","OD","19,33","47","","0","","0",""
"Schleswig-Flensburg","SL","22,50","45","+17","4","","0",""
"Rendsburg-Eckernförde","RD","16,50","45","+15","10","+10","0",""
"Flensburg","FL","34,64","31","+16","2","+2","0",""
"Dithmarschen","HEI","21,02","28","+2","4","","0",""
"Steinburg","IZ","19,79","26","+3","1","","0",""
"Nordfriesland","NF","13,29","22","+5","5","+2","0",""
"Plön","PLO","10,11","13","+2","5","+1","0",""
"Neumünster","NMS","11,32","9","+3","1","","0",""
"-"
"Schleswig-Holstein","SH","29,00","840","+236","62","+24","1","+1"

"Datenstand 04.01.2021 20:13:54"
