"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","695","691","33","1"
"05-09","820","883","15","0"
"10-14","843","1.037","21","0"
"15-19","1.225","1.284","35","0"
"20-24","1.558","1.586","74","0"
"25-29","1.451","1.463","88","0"
"30-34","1.423","1.586","105","2"
"35-39","1.344","1.422","123","2"
"40-44","1.396","1.288","131","1"
"45-49","1.341","1.208","149","3"
"50-54","1.458","1.535","195","9"
"55-59","1.388","1.415","234","20"
"60-64","856","984","231","23"
"65-69","489","569","216","40"
"70-74","495","500","278","72"
"75-79","523","471","349","120"
"80-84","806","523","498","220"
"85-89","642","316","330","195"
"90+","678","193","231","211"

"Datenstand 11.06.2021 19:47:25"
