"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","713","714","39","1"
"05-09","845","903","18","0"
"10-14","871","1.066","21","0"
"15-19","1.285","1.344","38","0"
"20-24","1.626","1.668","83","0"
"25-29","1.504","1.517","94","0"
"30-34","1.457","1.626","114","2"
"35-39","1.386","1.452","127","2"
"40-44","1.423","1.315","141","1"
"45-49","1.367","1.241","153","3"
"50-54","1.482","1.565","202","13"
"55-59","1.415","1.438","243","22"
"60-64","878","1.007","239","25"
"65-69","493","577","221","40"
"70-74","502","505","294","72"
"75-79","526","472","357","121"
"80-84","811","528","505","223"
"85-89","647","318","339","197"
"90+","679","194","235","212"

"Datenstand 22.07.2021 18:57:32"
