"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.608,64","8.246","+38","782","+5","240",""
"Segeberg","SE","2.017,14","5.591","+20","441","+2","100",""
"Stormarn","OD","2.091,29","5.106","+31","454","+2","140",""
"Kiel","KI","2.046,65","5.051","+29","376","+2","67",""
"Herzogtum Lauenburg","RZ","2.212,41","4.381","+10","290","+1","79",""
"Lübeck","HL","2.008,04","4.348","+2","294","","75",""
"Rendsburg-Eckernförde","RD","1.213,07","3.325","+20","233","","41",""
"Ostholstein","OH","1.379,78","2.767","+8","261","","67",""
"Schleswig-Flensburg","SL","1.214,98","2.444","+1","104","","32",""
"Flensburg","FL","2.618,56","2.361","+7","125","","29",""
"Nordfriesland","NF","1.419,09","2.355","+1","249","+1","56",""
"Steinburg","IZ","1.549,46","2.030","+6","172","","24",""
"Neumünster","NMS","2.289,39","1.836","","121","","10",""
"Dithmarschen","HEI","1.239,55","1.651","+5","136","+1","23",""
"Plön","PLO","985,34","1.268","+2","146","","22",""
"-"
"Schleswig-Holstein","SH","1.816,95","52.760","+180","4.184","+14","1.005",""

"Datenstand 13.10.2021 20:59:18"
