"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.136","1.211","60","1"
"05-09","1.825","1.897","34","0"
"10-14","2.057","2.277","43","0"
"15-19","2.149","2.266","60","0"
"20-24","2.450","2.585","128","0"
"25-29","2.323","2.354","167","0"
"30-34","2.317","2.496","191","3"
"35-39","2.227","2.216","207","4"
"40-44","2.194","2.021","201","4"
"45-49","2.011","1.841","198","4"
"50-54","2.110","2.186","285","19"
"55-59","1.892","1.959","321","26"
"60-64","1.195","1.371","303","31"
"65-69","720","795","280","52"
"70-74","662","655","352","87"
"75-79","680","582","420","133"
"80-84","978","664","602","242"
"85-89","780","379","391","216"
"90+","809","222","270","229"

"Datenstand 10.11.2021 19:08:45"
