"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.403,03","4.411","+77","381","+4","86",""
"Stormarn","OD","1.341,30","3.262","+45","160","+1","78","+1"
"Lübeck","HL","1.197,06","2.600","+24","76","+1","19",""
"Segeberg","SE","935,76","2.583","+33","154","+3","56","+1"
"Kiel","KI","934,77","2.314","+26","234","+2","35",""
"Herzogtum Lauenburg","RZ","899,81","1.775","+39","96","","27",""
"Rendsburg-Eckernförde","RD","617,36","1.684","+18","138","","19",""
"Ostholstein","OH","550,40","1.104","+19","84","+9","12",""
"Dithmarschen","HEI","719,17","958","+12","99","+2","25",""
"Nordfriesland","NF","577,62","956","+7","72","+1","20",""
"Schleswig-Flensburg","SL","450,44","901","+14","67","+2","11",""
"Steinburg","IZ","651,71","856","","74","","13",""
"Neumünster","NMS","851,71","677","+6","42","","10",""
"Plön","PLO","425,19","547","+13","81","+7","9",""
"Flensburg","FL","553,05","495","+7","32","+1","7",""
"-"
"Schleswig-Holstein","SH","867,29","25.123","+340","1.790","+33","427","+2"

"Datenstand 31.12.2020 20:24:55"
