"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","700","698","35","1"
"05-09","828","887","15","0"
"10-14","851","1.048","21","0"
"15-19","1.233","1.294","36","0"
"20-24","1.565","1.601","79","0"
"25-29","1.461","1.469","91","0"
"30-34","1.432","1.592","108","2"
"35-39","1.353","1.423","124","2"
"40-44","1.401","1.295","134","1"
"45-49","1.345","1.215","150","3"
"50-54","1.463","1.539","198","11"
"55-59","1.393","1.420","241","21"
"60-64","859","990","233","24"
"65-69","490","570","220","40"
"70-74","499","502","287","72"
"75-79","524","471","352","121"
"80-84","806","525","504","222"
"85-89","642","316","332","196"
"90+","678","193","231","211"

"Datenstand 21.06.2021 19:08:09"
