"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","438","461","19","1"
"05-09","451","549","9","0"
"10-14","491","586","14","0"
"15-19","805","830","25","0"
"20-24","1.129","1.148","39","0"
"25-29","1.088","1.064","57","0"
"30-34","1.028","1.157","60","1"
"35-39","931","1.046","77","0"
"40-44","1.034","899","80","1"
"45-49","960","873","86","2"
"50-54","1.101","1.127","116","3"
"55-59","1.057","1.048","147","14"
"60-64","650","749","139","19"
"65-69","383","447","154","32"
"70-74","389","400","206","59"
"75-79","439","394","271","96"
"80-84","723","471","422","191"
"85-89","608","286","276","175"
"90+","644","180","188","186"

"Datenstand 12.04.2021 18:36:08"
