"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","915,42","2.878","+26","295","+1","147","+2"
"Lübeck","HL","730,21","1.586","+19","186","+2","45",""
"Segeberg","SE","526,03","1.452","+17","72","","63",""
"Stormarn","OD","538,66","1.310","+13","150","+3","52","+2"
"Herzogtum Lauenburg","RZ","586,02","1.156","+19","80","+3","32",""
"Nordfriesland","NF","617,50","1.022","+23","149","+2","35",""
"Ostholstein","OH","484,59","972","+14","153","+1","40",""
"Kiel","KI","377,30","934","+4","104","+1","33",""
"Flensburg","FL","1.031,24","923","+27","44","","18",""
"Schleswig-Flensburg","SL","456,94","914","+36","45","","16","+1"
"Rendsburg-Eckernförde","RD","296,95","810","+17","88","+1","15",""
"Steinburg","IZ","346,41","455","+5","26","","3",""
"Neumünster","NMS","525,87","418","+18","38","","7","+1"
"Dithmarschen","HEI","258,24","344","+6","23","+2","7",""
"Plön","PLO","205,21","264","+3","51","","8",""
"-"
"Schleswig-Holstein","SH","532,95","15.438","+247","1.504","+16","521","+6"

"Datenstand 18.02.2021 20:01:41"
