"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.264,35","3.975","+77","400","+3","180",""
"Segeberg","SE","949,17","2.620","+53","98","","74",""
"Stormarn","OD","916,13","2.228","+37","230","+1","104",""
"Lübeck","HL","965,48","2.097","+14","217","","64",""
"Herzogtum Lauenburg","RZ","971,79","1.917","+15","158","+2","64",""
"Kiel","KI","630,99","1.562","+31","145","+1","43",""
"Schleswig-Flensburg","SL","749,41","1.499","+15","66","","23",""
"Flensburg","FL","1.625,63","1.455","+11","93","+1","28",""
"Rendsburg-Eckernförde","RD","512,88","1.399","+16","127","","21",""
"Ostholstein","OH","673,54","1.351","+16","183","+2","58",""
"Nordfriesland","NF","780,03","1.291","+3","178","+1","46",""
"Steinburg","IZ","569,48","748","+16","53","","8",""
"Neumünster","NMS","869,32","691","+11","56","","7",""
"Dithmarschen","HEI","397,87","530","+10","44","+1","9",""
"Plön","PLO","351,35","452","+4","73","","12",""
"-"
"Schleswig-Holstein","SH","822,14","23.815","+329","2.121","+12","741",""

"Datenstand 27.03.2021 20:08:05"
