"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.029","1.068","56","1"
"05-09","1.533","1.608","32","0"
"10-14","1.753","1.940","39","0"
"15-19","1.963","2.054","56","0"
"20-24","2.242","2.377","118","0"
"25-29","2.105","2.165","152","0"
"30-34","2.051","2.275","178","3"
"35-39","1.964","1.981","196","4"
"40-44","1.970","1.799","190","4"
"45-49","1.789","1.656","186","4"
"50-54","1.873","1.957","265","18"
"55-59","1.715","1.755","306","25"
"60-64","1.064","1.223","289","27"
"65-69","617","702","267","50"
"70-74","583","587","334","82"
"75-79","606","536","400","130"
"80-84","908","602","566","232"
"85-89","736","349","370","211"
"90+","772","216","260","224"

"Datenstand 21.10.2021 19:49:57"
