"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.459,32","7.774","+26","742","+2","237",""
"Segeberg","SE","1.902,77","5.274","+8","413","","99",""
"Stormarn","OD","1.927,05","4.705","","428","","137",""
"Kiel","KI","1.884,16","4.650","+17","346","","65",""
"Herzogtum Lauenburg","RZ","2.136,66","4.231","+9","281","","77",""
"Lübeck","HL","1.926,29","4.171","+1","289","","75",""
"Rendsburg-Eckernförde","RD","1.124,05","3.081","+15","221","","36",""
"Ostholstein","OH","1.324,93","2.657","+1","255","","67",""
"Schleswig-Flensburg","SL","1.163,28","2.340","+3","100","+1","31",""
"Nordfriesland","NF","1.384,14","2.297","+6","239","+1","56",""
"Flensburg","FL","2.502,11","2.256","+3","122","","29",""
"Steinburg","IZ","1.476,19","1.934","+4","162","","22",""
"Neumünster","NMS","2.092,37","1.678","+1","112","+1","9",""
"Dithmarschen","HEI","1.166,73","1.554","+6","127","+1","21",""
"Plön","PLO","914,63","1.177","","131","","20",""
"-"
"Schleswig-Holstein","SH","1.714,29","49.779","+100","3.968","+6","981",""

"Datenstand 18.09.2021 18:46:37"
