"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.415,04","7.634","+35","736","+2","234","+1"
"Segeberg","SE","1.883,65","5.221","+15","412","+1","98",""
"Stormarn","OD","1.908,21","4.659","+9","423","+3","137","+1"
"Kiel","KI","1.852,96","4.573","+28","345","+2","65","+1"
"Herzogtum Lauenburg","RZ","2.116,46","4.191","+15","279","","76",""
"Lübeck","HL","1.900,43","4.115","+14","289","","75",""
"Rendsburg-Eckernförde","RD","1.093,40","2.997","+27","218","+1","36",""
"Ostholstein","OH","1.311,47","2.630","+8","251","+1","67",""
"Schleswig-Flensburg","SL","1.156,32","2.326","+7","97","+1","31",""
"Nordfriesland","NF","1.364,26","2.264","+4","236","+1","56",""
"Flensburg","FL","2.488,80","2.244","+5","122","","29",""
"Steinburg","IZ","1.461,69","1.915","+5","160","","22",""
"Neumünster","NMS","2.044,99","1.640","+14","109","","9",""
"Dithmarschen","HEI","1.140,45","1.519","+8","123","+1","21",""
"Plön","PLO","897,53","1.155","+5","130","+1","19",""
"-"
"Schleswig-Holstein","SH","1.690,32","49.083","+199","3.930","+14","975","+3"

"Datenstand 14.09.2021 18:41:11"
