"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","652","658","31","1"
"05-09","744","830","13","0"
"10-14","794","959","18","0"
"15-19","1.168","1.218","34","0"
"20-24","1.502","1.546","73","0"
"25-29","1.396","1.411","81","0"
"30-34","1.358","1.515","99","1"
"35-39","1.292","1.362","107","2"
"40-44","1.353","1.246","121","1"
"45-49","1.288","1.154","143","2"
"50-54","1.422","1.483","172","7"
"55-59","1.352","1.377","213","20"
"60-64","841","952","207","21"
"65-69","479","555","206","37"
"70-74","484","494","264","69"
"75-79","517","467","336","117"
"80-84","790","516","486","209"
"85-89","633","312","315","189"
"90+","670","190","223","204"

"Datenstand 20.05.2021 19:18:57"
