"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","288,18","906","+7","145","+1","47",""
"Stormarn","OD","279,20","679","+9","60","","35",""
"Segeberg","SE","178,60","493","+7","47","","7",""
"Kiel","KI","193,50","479","+4","80","","12",""
"Rendsburg-Eckernförde","RD","135,28","369","+4","52","","14",""
"Herzogtum Lauenburg","RZ","186,55","368","","51","","18",""
"Lübeck","HL","143,19","311","+9","14","","1",""
"Steinburg","IZ","177,39","233","+1","25","","3",""
"Dithmarschen","HEI","174,91","233","+9","33","","5",""
"Schleswig-Flensburg","SL","99,99","200","","21","","4",""
"Neumünster","NMS","216,39","172","+1","13","","3",""
"Plön","PLO","131,37","169","","36","","8",""
"Nordfriesland","NF","90,03","149","+2","19","","2",""
"Ostholstein","OH","72,29","145","+1","17","","0",""
"Flensburg","FL","139,66","125","","8","","3",""
"-"
"Schleswig-Holstein","SH","173,68","5.031","+54","621","+1","162",""

"Datenstand 06.10.2020 20:23:03"
