"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","110","108","7","0"
"05-09","105","102","1","0"
"10-14","146","150","5","0"
"15-19","301","269","6","0"
"20-24","453","429","13","0"
"25-29","449","394","22","0"
"30-34","375","430","20","0"
"35-39","362","380","27","0"
"40-44","394","281","24","0"
"45-49","432","290","31","1"
"50-54","461","417","41","1"
"55-59","420","384","53","2"
"60-64","289","294","62","6"
"65-69","176","194","69","5"
"70-74","186","220","103","21"
"75-79","250","210","130","41"
"80-84","450","284","223","68"
"85-89","409","176","148","68"
"90+","419","118","107","81"

"Datenstand 02.02.2021 20:54:54"
