"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","923,69","2.904","+34","268","+6","57",""
"Stormarn","OD","821,56","1.998","+2","111","","60",""
"Segeberg","SE","673,83","1.860","+38","127","+3","39","+2"
"Kiel","KI","633,41","1.568","+45","166","+3","21","+2"
"Lübeck","HL","669,90","1.455","+47","64","+8","7",""
"Herzogtum Lauenburg","RZ","631,64","1.246","+25","80","","24",""
"Rendsburg-Eckernförde","RD","410,23","1.119","+20","104","","17",""
"Nordfriesland","NF","433,82","718","+5","53","","4",""
"Dithmarschen","HEI","530,74","707","+11","78","+3","14",""
"Ostholstein","OH","333,53","669","+10","48","+1","4","+1"
"Schleswig-Flensburg","SL","274,97","550","+5","39","","7",""
"Neumünster","NMS","683,13","543","+32","35","+1","6",""
"Steinburg","IZ","374,58","492","+11","45","+1","4",""
"Plön","PLO","303,16","390","+7","59","","8",""
"Flensburg","FL","386,57","346","+5","18","","4",""
"-"
"Schleswig-Holstein","SH","571,86","16.565","+297","1.295","+26","276","+5"

"Datenstand 09.12.2020 20:33:36"
