"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.085,59","3.413","","301","","68",""
"Stormarn","OD","1.083,49","2.635","+37","134","+1","69",""
"Segeberg","SE","826,35","2.281","+45","132","","45","+2"
"Lübeck","HL","1.021,65","2.219","+12","73","","15","+3"
"Kiel","KI","805,50","1.994","+25","203","+5","30","+1"
"Herzogtum Lauenburg","RZ","756,35","1.492","+10","89","","26",""
"Rendsburg-Eckernförde","RD","534,14","1.457","+14","120","+2","17",""
"Ostholstein","OH","458,67","920","+36","63","+1","6",""
"Nordfriesland","NF","524,45","868","+8","58","","7",""
"Dithmarschen","HEI","641,09","854","+4","85","","16","+1"
"Steinburg","IZ","545,88","717","+5","52","","6","+1"
"Schleswig-Flensburg","SL","328,96","658","+3","49","+3","7",""
"Neumünster","NMS","798,87","635","+4","36","","8",""
"Plön","PLO","369,23","475","+5","68","+1","9","+1"
"Flensburg","FL","480,43","430","+3","25","","4",""
"-"
"Schleswig-Holstein","SH","726,62","21.048","+211","1.488","+13","333","+9"

"Datenstand 21.12.2020 20:04:37"
