"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","40","43","5","0"
"05-09","51","52","3","0"
"10-14","73","67","4","0"
"15-19","119","107","5","0"
"20-24","189","200","9","0"
"25-29","203","202","17","0"
"30-34","173","174","16","0"
"35-39","168","139","10","0"
"40-44","152","145","17","0"
"45-49","152","169","23","3"
"50-54","230","213","28","0"
"55-59","206","219","49","6"
"60-64","125","123","44","8"
"65-69","83","90","51","10"
"70-74","76","74","50","18"
"75-79","107","82","91","26"
"80-84","106","99","105","37"
"85-89","70","36","50","26"
"90+","72","21","28","27"

"Datenstand 25.09.2020 19:10:25"
