"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","192","210","12","0"
"05-09","188","224","3","0"
"10-14","244","277","9","0"
"15-19","462","459","14","0"
"20-24","697","685","24","0"
"25-29","679","646","30","0"
"30-34","620","681","41","0"
"35-39","561","596","45","0"
"40-44","618","488","44","0"
"45-49","646","494","45","1"
"50-54","708","684","74","3"
"55-59","695","636","91","9"
"60-64","434","455","103","10"
"65-69","252","303","116","24"
"70-74","261","292","150","45"
"75-79","349","307","211","76"
"80-84","617","389","337","153"
"85-89","544","242","218","147"
"90+","596","165","160","163"

"Datenstand 02.03.2021 21:11:18"
