"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.085,27","3.412","+146","301","+7","68","+7"
"Stormarn","OD","1.016,88","2.473","+71","124","+1","69",""
"Segeberg","SE","761,51","2.102","+38","130","","42",""
"Lübeck","HL","869,25","1.888","+70","73","","12",""
"Kiel","KI","759,45","1.880","+38","188","+3","27",""
"Herzogtum Lauenburg","RZ","725,42","1.431","+29","88","+2","26","+1"
"Rendsburg-Eckernförde","RD","497,48","1.357","+37","117","+1","17",""
"Nordfriesland","NF","497,86","824","+58","58","","5","+1"
"Ostholstein","OH","409,81","822","+30","56","+3","6",""
"Dithmarschen","HEI","608,06","810","+18","85","","15","+1"
"Steinburg","IZ","494,11","649","+20","52","+2","5","+1"
"Schleswig-Flensburg","SL","315,46","631","+8","45","","7",""
"Neumünster","NMS","763,65","607","+13","36","","8",""
"Plön","PLO","350,57","451","+10","64","+1","8",""
"Flensburg","FL","451,38","404","+16","19","","4",""
"-"
"Schleswig-Holstein","SH","681,50","19.741","+602","1.436","+20","319","+11"

"Datenstand 17.12.2020 20:18:29"
