"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","956","969","51","1"
"05-09","1.351","1.411","26","0"
"10-14","1.524","1.726","32","0"
"15-19","1.812","1.934","52","0"
"20-24","2.104","2.206","106","0"
"25-29","1.946","2.002","137","0"
"30-34","1.885","2.105","159","2"
"35-39","1.794","1.816","174","3"
"40-44","1.817","1.674","182","4"
"45-49","1.656","1.532","175","4"
"50-54","1.737","1.810","246","17"
"55-59","1.596","1.653","288","25"
"60-64","983","1.154","268","26"
"65-69","569","649","255","46"
"70-74","542","543","313","78"
"75-79","561","512","384","126"
"80-84","859","568","542","231"
"85-89","680","337","352","204"
"90+","727","206","252","218"

"Datenstand 21.09.2021 18:53:56"
