"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","186,39","586","","28","","5",""
"Segeberg","SE","165,92","458","+13","15","","5",""
"Stormarn","OD","148,03","360","+13","12","+4","3","+2"
"Lübeck","HL","150,55","327","+30","10","+3","2",""
"Herzogtum Lauenburg","RZ","151,07","298","+24","10","+5","0",""
"Kiel","KI","114,73","284","+31","26","+6","5","+1"
"Rendsburg-Eckernförde","RD","88,72","242","+5","24","+2","0",""
"Ostholstein","OH","118,16","237","+14","35","+4","2",""
"Schleswig-Flensburg","SL","117,99","236","+6","10","+1","3","+1"
"Nordfriesland","NF","99,09","164","+26","28","+5","1",""
"Flensburg","FL","162,00","145","","4","","1",""
"Dithmarschen","HEI","82,58","110","+31","9","","1",""
"Steinburg","IZ","81,46","107","+9","3","+2","0",""
"Neumünster","NMS","109,45","87","+7","3","","0",""
"Plön","PLO","54,41","70","+4","17","+1","1",""
"-"
"Schleswig-Holstein","SH","128,11","3.711","+213","234","+33","29","+4"

"Datenstand 11.01.2021 20:17:44"
