"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.208,05","3.798","+80","390","+3","180","+1"
"Segeberg","SE","885,04","2.443","+55","98","+2","74","+1"
"Stormarn","OD","863,50","2.100","+33","228","+2","103","+1"
"Lübeck","HL","939,24","2.040","+43","214","","64",""
"Herzogtum Lauenburg","RZ","920,09","1.815","+20","155","","62",""
"Kiel","KI","599,88","1.485","+20","138","+2","43",""
"Schleswig-Flensburg","SL","720,91","1.442","+9","65","","22",""
"Flensburg","FL","1.563,06","1.399","+10","89","+1","28",""
"Rendsburg-Eckernförde","RD","493,08","1.345","+23","126","+1","21",""
"Ostholstein","OH","653,60","1.311","+8","181","","57",""
"Nordfriesland","NF","769,76","1.274","+7","176","","45","+1"
"Steinburg","IZ","524,56","689","+24","50","+1","7",""
"Neumünster","NMS","831,58","661","+20","55","","7",""
"Dithmarschen","HEI","379,85","506","+5","42","+1","9",""
"Plön","PLO","337,36","434","+5","71","+1","12",""
"-"
"Schleswig-Holstein","SH","785,10","22.742","+362","2.078","+14","734","+4"

"Datenstand 24.03.2021 19:00:03"
