"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.837,69","5.809","+7","611","","212",""
"Segeberg","SE","1.474,16","4.086","+13","223","+9","89",""
"Stormarn","OD","1.472,83","3.596","+11","332","+8","117",""
"Herzogtum Lauenburg","RZ","1.637,22","3.242","","219","","69",""
"Lübeck","HL","1.370,71","2.968","+9","258","","72",""
"Kiel","KI","1.180,74","2.914","+5","246","+8","53",""
"Rendsburg-Eckernförde","RD","818,32","2.243","+4","189","+2","30",""
"Ostholstein","OH","1.071,61","2.149","+3","232","+1","65",""
"Schleswig-Flensburg","SL","963,93","1.939","+2","83","+1","30","+1"
"Flensburg","FL","1.939,80","1.749","+1","106","","29",""
"Nordfriesland","NF","1.022,59","1.697","+5","205","","52",""
"Steinburg","IZ","1.087,68","1.425","+3","108","+5","16",""
"Neumünster","NMS","1.380,37","1.107","+8","83","","9",""
"Dithmarschen","HEI","734,27","978","+1","83","","13",""
"Plön","PLO","598,36","770","+1","98","","17",""
"-"
"Schleswig-Holstein","SH","1.262,91","36.672","+73","3.076","+34","873","+1"

"Datenstand 17.05.2021 19:06:00"
