"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","733,80","2.307","+54","200","+9","82","+13"
"Segeberg","SE","424,23","1.171","+35","52","+2","40","+2"
"Lübeck","HL","505,99","1.099","+30","140","+10","20","+1"
"Stormarn","OD","408,72","994","+25","106","+5","18","+4"
"Nordfriesland","NF","457,99","758","","122","","24",""
"Herzogtum Lauenburg","RZ","379,69","749","","36","","20",""
"Kiel","KI","294,89","730","","86","","26",""
"Ostholstein","OH","344,00","690","+24","122","+4","15",""
"Rendsburg-Eckernförde","RD","227,29","620","+15","63","+1","11","+1"
"Flensburg","FL","665,89","596","+28","25","","11",""
"Schleswig-Flensburg","SL","283,46","567","+14","30","+1","14",""
"Neumünster","NMS","432,78","344","+15","30","+1","4",""
"Steinburg","IZ","258,09","339","+12","22","","2",""
"Dithmarschen","HEI","214,70","286","","15","","4",""
"Plön","PLO","167,90","216","+6","45","+1","5","+1"
"-"
"Schleswig-Holstein","SH","395,83","11.466","+258","1.094","+34","296","+22"

"Datenstand 02.02.2021 20:54:54"
