"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","134","146","10","0"
"05-09","190","177","4","0"
"10-14","253","232","8","0"
"15-19","421","427","14","0"
"20-24","517","609","17","0"
"25-29","510","588","34","0"
"30-34","496","501","46","0"
"35-39","469","445","29","2"
"40-44","438","430","30","1"
"45-49","460","475","49","3"
"50-54","556","558","53","0"
"55-59","491","528","81","6"
"60-64","315","350","72","10"
"65-69","177","204","73","10"
"70-74","187","159","92","24"
"75-79","191","165","133","33"
"80-84","220","177","158","57"
"85-89","133","72","80","42"
"90+","132","41","58","45"

"Datenstand 20.11.2020 20:07:59"
