"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","708","708","37","1"
"05-09","832","894","18","0"
"10-14","857","1.056","21","0"
"15-19","1.246","1.311","37","0"
"20-24","1.580","1.617","80","0"
"25-29","1.472","1.483","94","0"
"30-34","1.441","1.608","113","2"
"35-39","1.367","1.440","127","2"
"40-44","1.407","1.304","139","1"
"45-49","1.353","1.223","152","3"
"50-54","1.469","1.545","201","13"
"55-59","1.404","1.425","243","22"
"60-64","871","1.000","239","25"
"65-69","490","572","220","40"
"70-74","501","503","293","72"
"75-79","526","472","357","121"
"80-84","809","524","504","223"
"85-89","643","316","335","197"
"90+","678","194","234","212"

"Datenstand 09.07.2021 18:57:54"
