"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","982","995","54","1"
"05-09","1.407","1.464","27","0"
"10-14","1.598","1.801","33","0"
"15-19","1.852","1.958","52","0"
"20-24","2.142","2.252","110","0"
"25-29","1.976","2.043","143","0"
"30-34","1.924","2.151","166","2"
"35-39","1.838","1.857","184","3"
"40-44","1.850","1.708","184","4"
"45-49","1.690","1.555","180","4"
"50-54","1.760","1.839","251","18"
"55-59","1.616","1.680","295","25"
"60-64","998","1.166","273","26"
"65-69","579","663","258","47"
"70-74","551","554","319","78"
"75-79","574","516","387","128"
"80-84","865","572","545","231"
"85-89","688","338","352","204"
"90+","732","207","254","218"

"Datenstand 29.09.2021 19:09:43"
