"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.323,51","4.161","+63","412","+3","184","+3"
"Segeberg","SE","1.020,17","2.816","+73","103","+1","76",""
"Stormarn","OD","960,95","2.337","+34","238","+3","104",""
"Lübeck","HL","1.007,38","2.188","+34","222","+1","64",""
"Herzogtum Lauenburg","RZ","1.027,05","2.026","+36","165","+3","64",""
"Kiel","KI","657,25","1.627","+20","154","+1","44",""
"Schleswig-Flensburg","SL","763,90","1.528","+20","67","","23",""
"Flensburg","FL","1.668,08","1.493","+15","97","+2","28",""
"Rendsburg-Eckernförde","RD","535,97","1.462","+15","130","","21",""
"Ostholstein","OH","698,97","1.402","+28","185","","59","+1"
"Nordfriesland","NF","795,13","1.316","+7","181","+2","47",""
"Steinburg","IZ","622,78","818","+27","58","+1","8",""
"Neumünster","NMS","910,84","724","+13","58","","8",""
"Dithmarschen","HEI","417,39","556","+18","46","+1","9",""
"Plön","PLO","362,23","466","+3","73","","12",""
"-"
"Schleswig-Holstein","SH","860,29","24.920","+406","2.189","+18","751","+4"

"Datenstand 31.03.2021 20:07:18"
