"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","13","6"
"02.01.2021","261","31","18"
"03.01.2021","202","35","6"
"04.01.2021","260","28","8"
"05.01.2021","539","46","7"
"06.01.2021","535","34","7"
"07.01.2021","480","26","6"
"08.01.2021","523","33","6"
"09.01.2021","407","29","5"
"10.01.2021","142","14","5"
"11.01.2021","260","37","5"
"12.01.2021","399","33","3"
"13.01.2021","492","30","0"
"14.01.2021","423","25","3"
"15.01.2021","419","39","0"
"16.01.2021","361","13","1"
"17.01.2021","204","15","1"
"18.01.2021","236","11","0"

"Datenstand 18.01.2021 20:24:25"
