"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","285,95","899","+2","144","+1","47",""
"Stormarn","OD","275,50","670","+8","60","+1","35",""
"Segeberg","SE","176,07","486","+6","47","","7",""
"Kiel","KI","191,88","475","","80","","12",""
"Herzogtum Lauenburg","RZ","186,55","368","+5","51","","18",""
"Rendsburg-Eckernförde","RD","133,81","365","+1","52","+1","14",""
"Lübeck","HL","139,04","302","+5","14","","1",""
"Steinburg","IZ","176,63","232","+5","25","","3",""
"Dithmarschen","HEI","168,16","224","","33","","5",""
"Schleswig-Flensburg","SL","99,99","200","+3","21","","4",""
"Neumünster","NMS","215,13","171","+1","13","","3",""
"Plön","PLO","131,37","169","+1","36","","8",""
"Nordfriesland","NF","88,82","147","","19","","2",""
"Ostholstein","OH","71,79","144","+2","17","","0",""
"Flensburg","FL","139,66","125","","8","","3",""
"-"
"Schleswig-Holstein","SH","171,82","4.977","+39","620","+3","162",""

"Datenstand 05.10.2020 20:22:55"
