"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","315","356","18","1"
"05-09","327","425","5","0"
"10-14","387","451","12","0"
"15-19","660","688","19","0"
"20-24","960","961","31","0"
"25-29","913","910","43","0"
"30-34","870","972","50","1"
"35-39","764","844","67","0"
"40-44","875","743","66","0"
"45-49","847","712","71","2"
"50-54","945","951","102","3"
"55-59","918","890","115","11"
"60-64","555","625","129","17"
"65-69","327","382","139","29"
"70-74","346","359","192","55"
"75-79","397","359","235","89"
"80-84","684","437","396","183"
"85-89","580","269","257","171"
"90+","622","176","181","180"

"Datenstand 28.03.2021 20:48:35"
