"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","536,59","1.687","+112","121","+2","32","+1"
"Segeberg","SE","300,69","830","+41","29","","21",""
"Stormarn","OD","328,13","798","+23","61","+2","10",""
"Lübeck","HL","343,47","746","+55","38","+14","10",""
"Herzogtum Lauenburg","RZ","306,70","605","+47","20","+1","12",""
"Nordfriesland","NF","353,46","585","+39","102","+1","6",""
"Kiel","KI","236,32","585","+14","66","","18",""
"Ostholstein","OH","250,27","502","+25","76","+9","9",""
"Rendsburg-Eckernförde","RD","180,74","493","+27","49","","3",""
"Flensburg","FL","481,54","431","+22","17","","8","+1"
"Schleswig-Flensburg","SL","204,47","409","+23","19","+1","6",""
"Steinburg","IZ","202,52","266","+11","12","","1",""
"Neumünster","NMS","332,13","264","+7","21","+1","1",""
"Dithmarschen","HEI","184,67","246","+23","14","","2",""
"Plön","PLO","132,14","170","+8","35","+1","4",""
"-"
"Schleswig-Holstein","SH","297,48","8.617","+477","680","+32","143","+2"

"Datenstand 23.01.2021 20:25:40"
