"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.011","1.048","55","1"
"05-09","1.475","1.540","31","0"
"10-14","1.680","1.874","35","0"
"15-19","1.920","2.017","54","0"
"20-24","2.214","2.343","118","0"
"25-29","2.060","2.127","152","0"
"30-34","2.014","2.231","173","2"
"35-39","1.910","1.923","194","4"
"40-44","1.920","1.761","188","4"
"45-49","1.740","1.617","181","4"
"50-54","1.827","1.906","259","18"
"55-59","1.682","1.726","304","25"
"60-64","1.031","1.194","286","27"
"65-69","601","686","266","50"
"70-74","571","575","328","80"
"75-79","590","528","396","130"
"80-84","889","587","559","231"
"85-89","716","346","366","209"
"90+","752","211","256","222"

"Datenstand 15.10.2021 19:25:19"
