"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.916,78","6.059","+6","635","","221",""
"Segeberg","SE","1.526,47","4.231","+9","287","+10","92","+1"
"Stormarn","OD","1.544,50","3.771","+6","346","+1","122",""
"Herzogtum Lauenburg","RZ","1.707,41","3.381","+2","243","","69",""
"Lübeck","HL","1.442,76","3.124","+4","259","","74",""
"Kiel","KI","1.252,87","3.092","+5","257","","55",""
"Rendsburg-Eckernförde","RD","873,05","2.393","","202","","35",""
"Ostholstein","OH","1.115,49","2.237","","237","","66",""
"Schleswig-Flensburg","SL","981,83","1.975","+1","86","","30",""
"Nordfriesland","NF","1.073,81","1.782","+1","206","","54",""
"Flensburg","FL","1.958,65","1.766","+3","109","","29",""
"Steinburg","IZ","1.141,11","1.495","+1","139","","19",""
"Neumünster","NMS","1.427,75","1.145","+2","86","","9",""
"Dithmarschen","HEI","762,05","1.015","","89","","18",""
"Plön","PLO","626,33","806","+1","101","+1","17",""
"-"
"Schleswig-Holstein","SH","1.318,01","38.272","+41","3.282","+12","910","+1"

"Datenstand 04.06.2021 19:02:06"
