"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","28","25","3","0"
"05-09","19","20","0","0"
"10-14","41","41","1","0"
"15-19","73","86","0","0"
"20-24","146","137","0","0"
"25-29","151","111","4","0"
"30-34","113","139","6","0"
"35-39","97","118","12","0"
"40-44","116","80","3","0"
"45-49","114","89","2","0"
"50-54","141","122","7","0"
"55-59","128","107","11","0"
"60-64","95","80","10","0"
"65-69","47","57","7","0"
"70-74","52","59","16","0"
"75-79","69","75","22","6"
"80-84","125","81","39","7"
"85-89","108","40","21","4"
"90+","109","34","17","5"

"Datenstand 09.01.2021 20:44:01"
