"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Segeberg","SE","130,78","361","+44","11","","3","+2"
"Pinneberg","PI","108,15","340","+58","17","+4","1",""
"Stormarn","OD","108,97","265","+50","3","+1","1",""
"Herzogtum Lauenburg","RZ","110,00","217","+38","1","","0",""
"Lübeck","HL","98,53","214","+53","5","+1","0",""
"Kiel","KI","71,91","178","+40","12","+3","3","+1"
"Rendsburg-Eckernförde","RD","59,39","162","+40","17","+2","0",""
"Ostholstein","OH","73,29","147","+26","24","+4","0",""
"Schleswig-Flensburg","SL","61,49","123","+25","7","+1","1",""
"Flensburg","FL","110,61","99","+35","3","+1","1","+1"
"Nordfriesland","NF","46,52","77","+20","10","+1","1",""
"Dithmarschen","HEI","45,04","60","+5","7","","0",""
"Neumünster","NMS","74,23","59","+23","1","","0",""
"Steinburg","IZ","44,16","58","+10","1","","0",""
"Plön","PLO","43,53","56","+10","10","+1","1",""
"-"
"Schleswig-Holstein","SH","83,40","2.416","+477","129","+19","12","+4"

"Datenstand 07.01.2021 20:13:06"
