"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.634,58","8.328","+9","789","+1","241","+1"
"Segeberg","SE","2.059,71","5.709","+81","448","+1","100",""
"Stormarn","OD","2.122,41","5.182","+37","457","+2","140",""
"Kiel","KI","2.072,17","5.114","+9","376","","67",""
"Herzogtum Lauenburg","RZ","2.232,11","4.420","+24","292","+1","79",""
"Lübeck","HL","2.024,20","4.383","+11","294","","75",""
"Rendsburg-Eckernförde","RD","1.233,87","3.382","+26","233","","42",""
"Ostholstein","OH","1.392,75","2.793","","262","","67",""
"Schleswig-Flensburg","SL","1.228,90","2.472","+3","105","","32",""
"Flensburg","FL","2.651,83","2.391","+1","125","","29",""
"Nordfriesland","NF","1.434,16","2.380","+8","254","+1","56",""
"Steinburg","IZ","1.559,39","2.043","+4","174","","25",""
"Neumünster","NMS","2.325,55","1.865","+4","125","+1","10",""
"Dithmarschen","HEI","1.257,57","1.675","+5","138","+1","23",""
"Plön","PLO","993,89","1.279","+6","146","","22",""
"-"
"Schleswig-Holstein","SH","1.839,54","53.416","+228","4.218","+8","1.008","+1"

"Datenstand 18.10.2021 19:05:17"
