"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","128","130","9","0"
"05-09","122","132","2","0"
"10-14","167","177","7","0"
"15-19","327","294","7","0"
"20-24","515","474","14","0"
"25-29","506","446","23","0"
"30-34","432","485","23","0"
"35-39","402","431","32","0"
"40-44","439","325","26","0"
"45-49","481","333","32","1"
"50-54","525","480","49","1"
"55-59","489","453","64","4"
"60-64","317","341","70","5"
"65-69","189","218","82","9"
"70-74","204","229","114","23"
"75-79","278","234","151","45"
"80-84","490","306","248","86"
"85-89","447","198","169","89"
"90+","460","127","121","95"

"Datenstand 07.02.2021 20:40:40"
