"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","274,82","864","+8","142","+1","47",""
"Stormarn","OD","265,22","645","+8","57","","35",""
"Kiel","KI","187,03","463","+3","80","","12","+1"
"Segeberg","SE","167,37","462","+2","47","","7",""
"Herzogtum Lauenburg","RZ","183,00","361","+1","51","","18",""
"Rendsburg-Eckernförde","RD","130,51","356","+5","51","","14",""
"Lübeck","HL","127,07","276","","13","","1",""
"Steinburg","IZ","169,02","222","+5","25","","3",""
"Dithmarschen","HEI","158,40","211","+1","31","","5",""
"Schleswig-Flensburg","SL","93,99","188","","21","","4",""
"Neumünster","NMS","212,61","169","+1","13","","3",""
"Plön","PLO","129,81","167","","36","","8",""
"Ostholstein","OH","70,79","142","+6","17","","0",""
"Nordfriesland","NF","80,36","133","+5","17","","2",""
"Flensburg","FL","126,25","113","+3","7","","3",""
"-"
"Schleswig-Holstein","SH","164,74","4.772","+48","608","+1","162","+1"

"Datenstand 29.09.2020 19:07:10"
