"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.025","1.062","56","1"
"05-09","1.522","1.590","32","0"
"10-14","1.737","1.928","38","0"
"15-19","1.953","2.048","55","0"
"20-24","2.238","2.369","119","0"
"25-29","2.096","2.157","152","0"
"30-34","2.037","2.263","177","3"
"35-39","1.952","1.970","195","4"
"40-44","1.961","1.794","190","4"
"45-49","1.782","1.645","186","4"
"50-54","1.867","1.955","265","18"
"55-59","1.712","1.749","306","25"
"60-64","1.057","1.217","288","27"
"65-69","616","700","267","50"
"70-74","581","585","333","82"
"75-79","604","536","400","130"
"80-84","904","599","564","232"
"85-89","735","349","369","211"
"90+","770","215","259","223"

"Datenstand 20.10.2021 19:32:36"
