"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.620,66","8.284","+20","785","+1","240",""
"Segeberg","SE","2.025,80","5.615","+14","444","+3","100",""
"Stormarn","OD","2.107,26","5.145","+14","455","+1","140",""
"Kiel","KI","2.057,59","5.078","+13","376","-2","67",""
"Herzogtum Lauenburg","RZ","2.219,99","4.396","+10","291","","79",""
"Lübeck","HL","2.015,89","4.365","+4","294","","75",""
"Rendsburg-Eckernförde","RD","1.220,00","3.344","+7","233","","42","+1"
"Ostholstein","OH","1.386,76","2.781","+10","262","+1","67",""
"Schleswig-Flensburg","SL","1.222,43","2.459","+5","105","+1","32",""
"Flensburg","FL","2.635,20","2.376","+7","125","","29",""
"Nordfriesland","NF","1.427,53","2.369","+10","252","+1","56",""
"Steinburg","IZ","1.554,81","2.037","+4","174","+2","25","+1"
"Neumünster","NMS","2.314,33","1.856","+5","123","+1","10",""
"Dithmarschen","HEI","1.244,81","1.658","+1","137","+1","23",""
"Plön","PLO","989,23","1.273","+2","146","","22",""
"-"
"Schleswig-Holstein","SH","1.826,45","53.036","+126","4.202","+10","1.007","+2"

"Datenstand 15.10.2021 19:25:19"
