"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.003","1.031","55","1"
"05-09","1.447","1.514","31","0"
"10-14","1.658","1.848","34","0"
"15-19","1.891","1.995","52","0"
"20-24","2.181","2.309","112","0"
"25-29","2.034","2.093","149","0"
"30-34","1.977","2.193","170","2"
"35-39","1.869","1.899","188","3"
"40-44","1.896","1.745","187","4"
"45-49","1.716","1.588","181","4"
"50-54","1.799","1.879","258","18"
"55-59","1.650","1.708","302","25"
"60-64","1.018","1.181","279","26"
"65-69","598","677","261","48"
"70-74","563","568","323","80"
"75-79","584","523","394","130"
"80-84","879","582","554","231"
"85-89","706","345","359","205"
"90+","742","208","254","220"

"Datenstand 09.10.2021 18:41:38"
